Train Loss,Validation Loss (Train-set),Validation Loss (Sample-set),n_samples
0.02261455694679171,0.0017020790837705135,0.010615277104079723,253
0.02817443269304931,0.0019450872205197811,0.01153457909822464,253
0.05874132626922801,0.0034602342639118433,0.013720585033297539,258
0.059490310930414125,0.00348460185341537,0.011288804933428764,258
0.06020158401224762,0.003503659972921014,0.013797632418572903,258
0.06099575263215229,0.0036275743041187525,0.011973850429058075,258
0.06287675106432289,0.0035929707810282707,0.013353094458580017,258
0.06303989875596017,0.003592188935726881,0.011447000317275524,258
0.06315800285665318,0.003592260181903839,0.016116227954626083,258
0.06324109307024628,0.0035930729936808348,0.01668633334338665,258
0.06388594803865999,0.0035956057254225016,0.016808323562145233,258
0.06335768551798537,0.0035949491430073977,0.016005663201212883,258
0.06406225339742377,0.003597985953092575,0.0154590904712677,258
0.0633803898235783,0.003594894427806139,0.016288429498672485,258
0.04997970984550193,0.004716932773590088,0.0038622671272605658,271
0.05024087510537356,0.0047594462521374226,0.004903065972030163,271
0.053167935635428876,0.004960869904607534,0.007053419481962919,271
0.05325416172854602,0.004959672223776579,0.008369684219360352,271
0.05334270358434878,0.004957803525030613,0.0064019630663096905,271
0.05340279883239418,0.004953443072736263,0.011960608884692192,271
0.05562790826661512,0.004760011564940214,0.009845329448580742,276
0.09766092686913908,0.004544104915112257,0.01298319548368454,276
0.10869716526940465,0.0044899978674948215,0.022032633423805237,276
0.11040741298347712,0.035132862627506256,0.019735515117645264,283
0.111354578693863,0.03438843786716461,0.02581426501274109,283
0.10482347453944385,0.02930804342031479,0.026151683181524277,283
0.115450470126234,0.008599274791777134,0.02062538079917431,294
0.12043320975499228,0.011231831274926662,0.015794353559613228,295
0.11847846891032532,0.012166867963969707,0.026286117732524872,295
0.1080085085122846,0.012326331809163094,0.025463683530688286,295
0.1131547557306476,0.012658846564590931,0.025278426706790924,295
0.1099054029036779,0.012400984764099121,0.027045100927352905,295
0.11343694006791338,0.012462920509278774,0.027790632098913193,295
0.11569807433988899,0.012608647346496582,0.028550490736961365,295
0.13877459015930071,0.012701805680990219,0.02703719399869442,295
0.13722734616021626,0.012425118125975132,0.030920764431357384,295
0.1342224090185482,0.012738795019686222,0.031080543994903564,311
0.13131179849733599,0.01254641730338335,0.030114268884062767,311
0.1264418615028262,0.013970572501420975,0.029118694365024567,317
0.09377966291503981,0.015923157334327698,0.025820951908826828,319
0.10688660677988082,0.030760832130908966,0.027708757668733597,319
0.12004409043584019,0.033542171120643616,0.030695799738168716,319
0.09222662629326805,0.00796029157936573,0.013514004647731781,321
0.08684145475854166,0.007613208144903183,0.010069044306874275,321
0.08361051278188825,0.007681067567318678,0.01511826179921627,321
0.13956290725036524,0.01017870381474495,0.02270827442407608,321
0.12354740838054568,0.008571168407797813,0.017305178567767143,321
0.10881559125846252,0.00410220492631197,0.01130606047809124,324
0.10879297368228436,0.004097004886716604,0.010685558430850506,324
0.10866175510454923,0.004089667461812496,0.00964028388261795,324
0.10854306898545474,0.0040830764919519424,0.010086823254823685,324
0.10855254746275023,0.004089953377842903,0.007668132893741131,324
0.10842688666889444,0.004082595929503441,0.010810613632202148,324
0.12901362305274233,0.004590040072798729,0.01595260202884674,324
0.11971545673441142,0.004006566479802132,0.01505519263446331,324
0.13606524519855157,0.004141738638281822,0.020838703960180283,324
0.14250403479672968,0.004375569988042116,0.020138587802648544,324
0.12111531395930797,0.02808603970333934,0.023044973611831665,331
0.09898377279751003,0.03065574448555708,0.02356470748782158,331
0.10470488871214911,0.007443478098139167,0.022889569401741028,332
0.10443341883365065,0.008107551315333694,0.022663038223981857,332
0.11286209645913914,0.015617955476045609,0.01900266669690609,359
0.0913229608850088,0.011364093516021967,0.018106579780578613,359
0.10802868491737172,0.014108411967754364,0.020225565880537033,367
0.1093325744732283,0.014283634722232819,0.018796255812048912,367
